OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
751,2004-10-27,24.03,-138.44,0,0
752,2005-02-21,24.03,-138.44,0,0
753,2005-07-13,24.03,-138.44,0,0
754,2005-12-12,24.03,-138.44,0,0
755,2006-07-09,24.03,-138.44,0,0
756,2007-02-27,24.03,-138.44,0,0
757,2007-10-19,24.03,-138.44,0,0
758,2008-05-16,24.03,-138.44,0,0
759,2008-10-23,24.03,-138.44,0,0
760,2009-02-18,24.03,-138.44,0,0
761,2009-05-31,24.03,-138.44,0,0
762,2009-11-03,24.03,-138.44,0,0
763,2010-10-20,24.03,-138.44,0,0
764,2011-03-06,24.03,-138.44,0,0
765,2011-06-05,24.03,-138.44,0,0
766,2011-10-22,24.03,-138.44,0,0
767,2012-02-12,24.03,-138.44,0,0
768,2004-02-22,24.21,-149.32,0,0
769,2004-10-21,24.21,-149.32,0,0
770,2005-02-16,24.21,-149.32,0,0
771,2005-07-09,24.21,-149.32,0,0
772,2005-12-05,24.21,-149.32,0,0
773,2006-05-27,24.21,-149.32,0,0
774,2007-02-19,24.21,-149.32,0,0
775,2007-08-20,24.21,-149.32,0,0
776,2008-04-26,24.21,-149.32,0,0
777,2008-10-18,24.21,-149.32,0,0
778,2008-12-30,24.21,-149.32,0,0
779,2009-05-25,24.21,-149.32,0,0
780,2009-10-28,24.21,-149.32,0,0
781,2010-10-14,24.21,-149.32,0,0
782,2011-02-24,24.21,-149.32,0,0
783,2011-05-31,24.21,-149.32,0,0
784,2011-10-18,24.21,-149.32,0,0
785,2012-02-04,24.21,-149.32,0,0
786,2012-06-21,24.21,-149.32,0,0
787,2003-11-03,24.52,-148.47,0,0
788,2004-03-01,24.52,-148.47,0,0
789,2004-10-22,24.52,-148.47,0,0
790,2005-02-16,24.52,-148.47,0,0
791,2005-07-09,24.52,-148.47,0,0
792,2005-12-06,24.52,-148.47,0,0
793,2006-05-27,24.52,-148.47,0,0
794,2007-02-19,24.52,-148.47,0,0
795,2007-08-20,24.52,-148.47,0,0
796,2008-04-30,24.52,-148.47,0,0
797,2008-10-18,24.52,-148.47,0,0
798,2008-12-31,24.52,-148.47,0,0
799,2009-05-25,24.52,-148.47,0,0
800,2009-10-29,24.52,-148.47,0,0
801,2010-10-15,24.52,-148.47,0,0
802,2011-02-25,24.52,-148.47,0,0
803,2011-05-31,24.52,-148.47,0,0
804,2011-10-18,24.52,-148.47,0,0
805,2012-02-05,24.52,-148.47,0,0
806,2003-11-11,24.73,-139.58,0,0
807,2004-03-31,24.73,-139.58,0,0
808,2004-10-26,24.73,-139.58,0,0
809,2005-02-21,24.73,-139.58,0,0
810,2005-07-13,24.73,-139.58,0,0
811,2005-12-11,24.73,-139.58,0,0
812,2006-06-07,24.73,-139.58,0,0
813,2007-02-24,24.73,-139.58,0,0
814,2007-10-19,24.73,-139.58,0,0
815,2008-05-15,24.73,-139.58,0,0
816,2008-10-22,24.73,-139.58,0,0
817,2009-02-18,24.73,-139.58,0,0
818,2009-05-30,24.73,-139.58,0,0
819,2009-11-02,24.73,-139.58,0,0
820,2010-10-19,24.73,-139.58,0,0
821,2011-03-02,24.73,-139.58,0,0
822,2011-06-04,24.73,-139.58,0,0
823,2011-10-22,24.73,-139.58,0,0
824,2012-02-12,24.73,-139.58,0,0
825,2003-10-27,28.41,-140.21,0,0
826,2004-08-28,28.41,-140.21,0,0
827,2005-01-17,28.41,-140.21,0,0
828,2005-05-21,28.41,-140.21,0,0
829,2005-11-29,28.41,-140.21,0,0
830,2006-05-17,28.41,-140.21,0,0
831,2006-12-21,28.41,-140.21,0,0
832,2007-07-26,28.41,-140.21,0,0
833,2008-04-04,28.41,-140.21,0,0
834,2008-07-11,28.41,-140.21,0,0
835,2008-12-19,28.41,-140.21,0,0
836,2009-05-16,28.41,-140.21,0,0
837,2009-10-22,28.41,-140.21,0,0
838,2010-10-08,28.41,-140.21,0,0
839,2011-02-13,28.41,-140.21,0,0
840,2011-05-14,28.41,-140.21,0,0
841,2011-10-12,28.41,-140.21,0,0
842,2012-01-01,28.41,-140.21,0,0
843,2012-05-18,28.41,-140.21,0,0
844,2003-10-27,28.54,-140.09,0,0
845,2004-01-20,28.54,-140.09,0,0
846,2004-08-17,28.54,-140.09,0,0
847,2005-01-07,28.54,-140.09,0,0
848,2005-05-20,28.54,-140.09,0,0
849,2005-11-14,28.54,-140.09,0,0
850,2006-05-15,28.54,-140.09,0,0
851,2006-12-21,28.54,-140.09,0,0
852,2007-07-25,28.54,-140.09,0,0
853,2008-04-03,28.54,-140.09,0,0
854,2008-07-10,28.54,-140.09,0,0
855,2008-12-18,28.54,-140.09,0,0
856,2009-05-16,28.54,-140.09,0,0
857,2009-10-21,28.54,-140.09,0,0
858,2010-10-07,28.54,-140.09,0,0
859,2011-02-12,28.54,-140.09,0,0
860,2011-05-14,28.54,-140.09,0,0
